年份(Years),月份(Months),亞洲總計(Asia Total),香港(Hong Kong),中國大陸(Mainland China),澳門(Macao),日本(Japan),韓國(Korea),印度(India),越南(Vietnam),泰國(Thailand),馬來西亞(Malaysia),新加坡(Singapore),菲律賓(Philippines),汶萊(Brunei),印尼(Indonesia),柬埔寨(Cambodia),寮國(Laos),緬甸(Myanmar),斯里蘭卡(Sri Lanka),不丹(Bhutan),尼泊爾(Nepal),孟加拉(Bangladesh),巴基斯坦(Pakistan),蒙古(Mongolia),東帝汶(Timor),索羅門群島(Solomon Islands),馬爾地夫(Maldives),賽席爾(Seychelles),吉里巴斯(Kiribati),伊朗(Iran),伊拉克(Iraq),沙烏地阿拉伯(Saudi Arabia),科威特(Kuwait),以色列(Israel),約旦(Jordan),敘利亞(Syria),黎巴嫩(Lebanon),阿拉伯聯合大公國(United Arab Emirates),葉門(Yemen),土耳其(Turkey),賽普勒斯(Cyprus),阿富汗(Afghanistan),美洲總計(Americas Total),美國(United States of America),加拿大(Canada),墨西哥(Mexico),巴西(Brazil),阿根廷(Argentina),巴拿馬(Panama),哥斯大黎加(Costa Rica),多明尼加(Dominican Rep.),瓜地馬拉(Guatemala),宏都拉斯(Honduras),海地(Haiti),尼加拉瓜(Nicaragua),薩爾瓦多(El Salvador),貝里斯(Belize),聖露西亞(Saint Lucia),智利(Chile),委內瑞拉(Venezuela),玻利維亞(Bolivia),哥倫比亞(Colombia),厄瓜多爾(Ecuador),圭亞馬(Guaymas),巴拉圭(Paraguay),秘魯(Peru),烏拉圭(Uruguay), 歐洲總計(Europe Total),比利時(Belgium),法國(France),德國(Germany),義大利(Italy),荷蘭(Netherlands),英國(U.K.),西班牙(Spain),瑞典(Sweden),瑞士(Switzerland),奧地利(Austria),希臘(Greece),俄羅斯(Russian Federation),挪威(Norway),丹麥(Denmark),愛爾蘭(Ireland),冰島(Iceland),葡萄牙(Portugal),芬蘭(Finland),烏克蘭(Ukraine),克羅埃西亞(Croatia),愛沙尼亞(Estonia),立陶宛(Lithuania),拉脫維亞(Lativia),斯洛凡尼亞(Slovenia),斯洛伐克(Slovakia),波蘭(Poland),捷克(Czech),匈牙利(Hungary),羅馬尼亞(Romania),保加利亞(Bulgaria),大洋洲總計(Oceania Total),澳大利亞(Australia),紐西蘭(New Zealand),斐濟(Fiji),諾魯(Nauru),帛琉(Palau),馬紹爾(Marshall),非洲總計(Africa Total),南非(S. Africa),埃及(Egypt),摩洛哥(Morocco),阿爾及利亞(Algeria),突尼西亞(Tunisia),肯亞(Kenya),奈及利亞(Nigeria),模里西斯(Mauritius),史瓦濟蘭(Swaziland),小計(Subtotals),總計(Totals)
103 (2014),9,"897,568","160,392","269,049","40,351","231,246","51,791","2,033","23,425","42,053","13,822","23,499","11,551",1,"14,327","5,093",0,"1,657",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,"6,768",0,0,504,0,"42,727","34,960","7,766",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,1,"15,939",0,"3,674","5,433",0,"2,865",0,0,0,0,"3,744",0,218,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,"9,153","6,711",0,0,0,"2,424",9,0,0,0,0,0,0,0,0,0,0,"1,930,762","965,466"
103 (2014),10,"990,199","173,328","302,986","42,147","270,304","56,795","1,453","26,877","39,632","16,021","22,556","11,677",0,"12,921","5,439",0,"2,071",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,794",0,0,198,0,"38,433","32,289","6,144",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"12,914",0,"3,718","3,791",0,"1,989",0,0,0,0,"3,410",0,1,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,"8,346","6,505",0,0,0,"1,828",6,0,0,0,0,0,0,0,0,0,0,"2,099,777","1,049,968"
103 (2014),11,"833,452","137,070","248,285","34,723","241,429","47,491","1,230","23,810","34,094","13,884","18,194","9,759",0,"12,093","5,219",0,"1,983",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,"4,133",0,0,52,0,"36,569","32,983","3,586",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"9,096",0,"2,950","3,015",0,"1,442",0,0,0,0,"1,688",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,002","5,575",0,0,0,"1,425",0,0,0,0,0,0,0,0,0,0,0,"1,772,235","886,182"
103 (2014),12,"853,498","153,916","258,093","40,596","216,492","48,094","1,099","29,952","41,885","12,661","16,125","10,411",2,"11,383","6,238",0,"2,201",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,222",0,0,128,0,"38,267","33,658","4,609",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"6,947",0,"2,532","1,885",0,"1,023",0,3,0,0,"1,504",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,682","8,386",0,0,0,"1,296",0,6,6,0,0,0,0,0,0,0,0,"1,816,800","908,657"
104 (2015),1,"857,718","150,728","240,112","39,164","225,116","48,024","1,150","28,241","47,129","15,457","25,955","11,112",7,"11,863","6,267",0,"2,002",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,390",0,0,0,0,"42,415","37,765","4,650",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"8,166",0,"2,764","2,862",0,"1,335",0,0,0,0,"1,204",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,100","10,922",0,5,0,"1,153",0,4,4,0,0,0,0,0,0,0,0,"1,840,786","920,674"
104 (2015),2,"950,739","150,888","230,305","38,721","283,635","53,315","1,469","39,976","51,863","19,014","32,693","16,525",261,"17,148","6,506",0,"2,516",2,1,0,0,0,0,0,0,0,2,0,0,0,2,0,11,0,0,0,"5,885",0,0,0,0,"41,876","37,330","4,546",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"10,271",0,"3,061","3,668",0,"2,302",0,0,0,0,"1,239",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"12,494","10,742",0,2,0,"1,746",0,0,0,0,0,0,0,0,0,0,0,"2,030,755","1,015,518"
104 (2015),3,"1,010,951","167,656","297,043","40,273","285,122","51,365","1,822","31,245","53,355","14,421","22,161","14,804",1,"16,066","6,448",146,"1,658",1,9,0,0,0,0,0,0,0,7,0,0,0,3,0,32,0,0,0,"7,036",0,265,0,0,"43,303","37,801","5,502",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"11,384",0,"3,283","4,642",0,"1,581",0,0,0,0,"1,878",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,588","8,088",0,0,0,"1,487",0,0,0,0,0,0,0,0,0,0,0,"2,150,427","1,075,244"
104 (2015),4,"1,076,810","164,119","295,645","44,404","346,365","57,222","1,211","32,111","51,242","14,551","23,708","14,838",2,"14,066","4,931",0,"1,516",9,1,0,0,0,0,0,0,0,8,0,0,0,0,0,19,0,0,0,"6,215",0,"4,623",0,0,"42,180","36,298","5,882",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"11,913",1,"3,670","3,790",0,"2,014",0,0,0,0,"2,437",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"8,265","7,339",0,2,0,899,0,0,0,0,0,0,0,0,0,0,0,"2,278,307","1,139,384"
104 (2015),5,"1,083,466","163,570","297,885","41,120","352,263","53,704","1,801","33,166","53,677","15,814","21,348","14,719",2,"14,530","4,706",0,"1,199",2,4,0,0,0,0,0,0,0,6,0,0,0,1,1,33,0,0,0,"7,840",0,"6,073",0,0,"46,860","40,499","6,347",0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"14,621",0,"4,073","5,179",0,"2,442",0,6,0,0,"2,913",0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,"8,112","7,071",0,0,0,"1,033",0,0,0,0,0,0,0,0,0,0,0,"2,306,108","1,153,079"
104 (2015),6,"1,090,220","183,219","294,294","43,137","356,669","14,896","2,000","33,506","64,864","18,494","26,248","16,136",2,"17,212","4,610",0,"1,224",0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,"7,950",0,"5,729",0,0,"55,634","47,232","8,398",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"19,020",0,"4,223","5,901",0,"3,961",0,0,0,0,"4,111",0,822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,565","7,483",0,0,0,"1,078",1,0,0,0,0,0,0,0,0,0,0,"2,346,867","1,173,516"
104 (2015),7,"1,175,786","191,439","315,481","48,597","374,662","10,899","1,638","44,931","65,038","24,913","39,700","19,031",0,"18,707","5,866",0,"1,981",0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,60,0,0,0,"7,007",0,"5,827",0,0,"56,634","49,868","6,766",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"19,376",0,"3,917","5,563",13,"5,086",0,0,0,0,"3,633",0,"1,164",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,623","8,225",0,28,0,"1,362",0,7,2,0,0,0,0,0,0,0,0,"2,522,838","1,261,540"
104 (2015),8,"1,080,572","185,245","299,750","46,988","326,325","25,162","1,606","34,010","51,243","22,513","35,035","16,199",2,"17,259","5,980",0,"1,545",0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,"6,515",0,"5,183",0,0,"51,541","44,802","6,739",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"16,535",0,"3,016","5,442",0,"3,446",0,0,0,0,"3,715",0,916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,647","7,465",0,0,0,"1,164",0,0,0,0,0,0,0,0,0,0,0,"2,314,571","1,157,371"
104 (2015),9,"998,619","156,391","271,600","43,456","313,415","45,069","2,133","31,047","43,969","16,282","26,262","14,529",0,"14,407","4,995",0,"1,293",1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,"7,767",0,"5,997",0,0,"46,318","38,394","7,924",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"17,993",0,"4,512","5,216",1,"3,730",0,0,0,0,"3,918",0,612,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,"8,794","7,788",0,0,0,995,7,0,0,0,0,0,0,0,0,0,0,"2,143,442","1,072,009"
104 (2015),10,"1,115,273","182,691","318,599","47,602","351,495","47,012","1,954","33,694","40,896","16,309","25,819","16,192",1,"12,820","5,605",0,"1,801",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,569",0,"6,213",0,0,"41,081","35,795","5,286",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"14,582",0,"3,752","4,775",0,"2,589",0,0,0,0,"3,464",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"10,166","8,828",0,0,0,"1,330",8,0,0,0,0,0,0,0,0,0,0,"2,362,203","1,181,248"
104 (2015),11,"986,063","153,177","286,248","46,936","307,177","46,032","1,522","33,078","38,467","12,703","20,931","13,176",4,"11,487","5,126",0,"1,472",0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,"4,357",0,"4,161",0,0,"41,537","36,969","4,564",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,4,"10,084",0,"2,519","3,449",0,"1,461",0,0,0,0,"2,651",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,"11,152","9,952",3,0,0,"1,197",0,6,0,0,0,2,0,0,0,4,0,"2,097,683","1,048,893"
104 (2015),12,"927,071","159,030","256,958","46,746","275,635","47,400","1,760","34,008","37,780","11,160","18,656","12,830",3,"10,913","5,553",0,"1,792",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,829",0,"3,012",0,0,"38,888","34,403","4,475",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"7,584",0,"2,395","2,556",0,959,0,0,0,0,"1,672",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,884","9,903",0,0,0,977,1,13,10,0,0,0,0,0,0,3,0,"1,968,869","984,500"
105 (2016),1,"1,009,041","160,042","241,113","46,638","331,876","56,236","1,525","34,628","43,681","16,877","31,401","15,620",2,"12,438","5,552",0,"2,568",0,0,0,0,0,0,0,0,11,0,0,0,0,2,0,0,0,0,0,"5,051",1,"3,778",0,0,"53,233","47,275","5,958",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"8,849",0,"2,851","3,163",0,"1,233",0,2,0,0,"1,595",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14,744","13,186",180,0,0,"1,378",0,3,2,0,0,0,0,0,0,0,0,"2,171,738","1,085,927"
105 (2016),2,"1,162,395","180,189","298,798","52,543","359,908","57,437","1,984","45,423","53,164","20,713","36,563","18,711",257,"16,789","6,564",0,"2,613",0,21,0,0,0,0,0,0,2,0,0,0,0,0,0,22,0,0,0,"6,011",0,"4,675",0,0,"50,607","44,360","6,247",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"11,853",0,"3,248","3,567",0,"2,732",0,0,0,0,"2,301",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"15,316","13,557",0,458,0,"1,301",0,40,0,27,0,1,0,0,0,0,0,"2,480,402","1,240,755"
105 (2016),3,"1,029,041","143,266","270,766","42,649","341,162","56,440","1,898","35,528","44,816","16,175","23,333","16,239",2,"13,811","6,095",0,"1,990",8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"5,896",0,"8,928",0,26,"41,910","35,775","6,135",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"11,730",0,"3,451","4,033",0,"1,642",0,0,0,0,"2,603",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,835","11,565",0,0,0,"1,256",0,0,0,0,0,0,0,0,0,0,0,"2,191,006","1,096,211"
105 (2016),4,"1,171,951","170,906","306,441","51,557","394,630","67,144","1,327","37,059","44,058","18,451","26,393","18,676",3,"13,628","4,981",0,"1,639",0,18,0,0,0,0,0,4,0,7,0,0,0,0,0,41,0,0,0,"7,201",0,"7,786",0,0,"43,426","36,653","6,773",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"10,497",0,"2,858","3,679",0,"1,780",0,0,0,0,"2,175",0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,"11,238","9,963",0,3,0,"1,247",0,16,2,0,0,0,0,0,0,14,0,"2,474,230","1,237,213"
105 (2016),5,"1,158,372","161,537","315,102","45,974","391,554","63,856","1,510","35,776","43,192","17,878","22,888","18,826",111,"14,617","4,920",0,"2,025",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"9,858",0,"8,741",0,0,"48,882","41,635","7,247",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"12,126",0,"3,575","4,054",0,"1,846",0,0,0,0,"2,645",0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,"10,192","9,132",0,0,0,"1,046",0,0,0,0,0,0,0,0,0,0,0,"2,459,124","1,230,556"
105 (2016),6,"1,275,594","187,887","321,257","54,522","410,889","85,261","1,462","37,861","56,212","21,683","30,573","23,112",2,"15,736","5,087",0,"1,534",2,25,2,0,0,0,0,0,3,0,0,2,0,0,1,1,1,0,1,"11,829",0,"10,640",2,0,"60,223","49,742","10,481",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"17,200",2,"4,303","5,922",48,"3,130",48,41,57,46,"3,061",4,424,25,7,4,6,14,28,0,0,0,0,0,0,0,18,3,7,0,0,"10,766","9,127",4,0,0,"1,618",1,11,0,7,0,3,0,0,0,0,0,"2,727,562","1,363,849"
105 (2016),7,"1,292,011","165,958","346,297","55,577","409,644","79,681","2,011","51,465","51,037","29,871","35,130","25,752",18,"17,448","6,052",108,"2,254",175,62,173,90,22,221,0,11,121,7,1,39,90,80,4,395,24,0,45,"6,772",0,"5,346",4,1,"58,708","49,953","8,755",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"31,908",71,"4,294","7,257","1,720","3,747","3,249",992,458,"1,105","3,901",402,"1,442",393,810,135,32,224,372,11,0,9,115,3,0,0,407,433,243,0,15,"14,423","12,745",89,46,0,"1,483",19,186,0,182,0,4,0,0,0,0,0,"2,794,338","1,397,282"
105 (2016),8,"1,161,500","158,045","331,005","51,251","345,359","76,720","2,151","36,267","48,673","27,957","29,773","22,032",9,"14,408","5,805",87,"1,805",182,98,167,88,34,191,0,14,109,5,2,39,107,57,7,470,26,0,35,"5,008",0,"3,460",8,0,"55,264","47,253","7,682",92,85,30,10,2,5,20,1,0,3,1,3,2,8,0,0,9,6,-,11,25,2,"30,293",58,"3,205","7,522","1,550","3,385","2,624",988,435,"1,216","4,332",272,"1,670",311,497,123,54,240,301,33,62,28,26,35,30,0,541,290,301,10,36,"13,463","11,670",141,57,0,"1,531",6,406,81,114,3,2,1,107,15,15,0,"2,521,548","1,260,945"
105 (2016),9,"1,130,100","146,963","312,406","50,411","354,621","70,914","2,313","37,351","47,586","23,134","25,307","21,798",43,"15,711","5,473",84,"1,905",123,152,180,78,26,106,0,8,161,25,0,70,116,42,5,636,47,0,54,"8,447",0,"3,730",35,1,"59,379","48,205","10,566",135,150,22,17,11,7,13,1,4,18,8,1,8,18,0,0,31,17,-,19,123,1,"42,615",84,"5,117","9,379","3,219","3,908","4,314","1,813",371,"1,754","5,517",858,"1,536",417,519,120,147,479,341,34,395,20,54,17,307,1,670,548,309,33,29,"14,152","12,519",154,31,0,"1,342",6,"1,138",370,330,99,0,19,101,18,78,0,"2,494,198","1,247,991"
105 (2016),10,"1,139,336","147,329","345,004","48,577","359,875","71,622","2,033","36,859","34,905","18,877","21,616","18,409",41,"15,094","5,421",116,"2,181",190,191,177,107,25,31,0,10,159,4,2,129,79,56,24,556,103,0,41,"4,700",0,"4,674",51,0,"53,380","41,978","10,721",165,203,29,14,3,15,10,9,9,9,7,7,4,27,1,0,35,21,-,9,81,11,"32,887",56,"4,826","7,012","2,590","2,861","2,402","1,666",145,766,"6,036",429,302,119,320,128,129,637,595,39,282,1,55,7,274,0,257,401,226,62,21,"13,103","12,054",305,23,0,630,20,"1,105",511,272,85,2,34,22,19,23,0,"2,479,091","1,241,307"
105 (2016),11,"1,020,381","133,372","312,770","46,799","310,510","61,754","2,054","37,400","31,481","17,299","18,933","16,735",21,"13,670","5,296",114,"2,377",140,200,164,135,24,13,0,7,170,6,2,180,101,50,14,880,92,0,43,"3,917",0,"3,607",11,0,"51,260","43,158","7,401",162,121,90,22,13,9,24,14,1,8,12,15,3,24,2,0,13,32,-,9,107,0,"25,904",50,"4,819","6,676","1,992","2,337","1,641","1,331",122,341,"4,648",62,133,20,135,36,137,336,131,7,65,2,7,8,39,1,159,222,125,38,53,"14,167","12,505","1,008",27,0,559,14,"1,421",311,667,176,23,63,42,10,10,0,"2,225,802","1,113,547"
105 (2016),12,"989,345","147,153","284,518","52,352","285,212","61,355","2,131","40,327","33,982","16,383","18,005","15,891",31,"12,388","6,035",179,"2,305",124,428,126,107,28,14,0,12,199,1,0,99,165,56,5,995,59,0,47,"4,376",0,"4,199",18,0,"46,919","41,112","5,439",72,82,67,9,7,7,8,6,0,6,6,2,0,20,1,2,12,21,-,10,19,2,"22,225",36,"3,914","4,190","1,935","4,250","2,043",772,199,301,"3,120",30,162,78,81,27,34,180,137,6,31,6,4,8,7,1,122,286,152,11,5,"13,327","11,478",923,51,0,812,7,880,120,527,51,7,29,18,16,20,0,"2,145,098","1,073,340"
106 (2017),1,"1,039,805","130,856","244,084","43,339","347,036","66,289","2,603","49,468","40,361","23,153","31,412","22,703",262,"17,317","5,623",76,"2,910",401,162,171,97,22,6,0,2,284,25,0,115,92,53,3,781,154,0,36,"6,509",0,"3,300",30,0,"62,612","54,682","7,436",80,95,62,21,12,9,8,22,1,12,12,5,0,39,0,1,10,7,-,4,61,2,"29,208",64,"4,900","5,885","2,796","4,844","2,646","1,601",490,481,"3,258",41,187,152,112,51,113,447,211,11,41,8,11,0,55,0,152,280,207,9,16,"16,437","14,705",644,277,0,758,17,"1,865",327,927,275,18,27,43,7,44,0,"2,299,381","1,150,837"
106 (2017),2,"1,187,260","172,217","328,059","51,969","349,758","73,789","3,329","47,962","44,692","24,393","30,848","21,308",37,"16,385","7,061",157,"2,588",181,210,204,207,31,10,0,7,200,7,0,79,98,63,6,591,85,0,46,"6,175",0,"4,375",15,0,"47,867","41,645","5,566",145,162,44,28,20,16,15,15,10,5,11,11,1,31,1,11,23,9,-,4,75,2,"29,732",43,"5,003","6,195","3,652","4,786","2,070","1,346",388,376,"3,497",85,165,326,132,52,232,186,262,18,43,22,25,1,35,1,159,252,214,14,12,"17,415","15,720",777,18,0,828,15,"1,819",171,"1,174",173,12,32,36,43,54,0,"2,567,730","1,284,579"
106 (2017),3,"1,108,668","140,205","306,038","45,014","351,362","72,580","2,774","42,574","42,582","22,056","22,943","21,126",83,"15,773","6,329",112,"2,148",157,274,133,175,35,21,0,9,231,8,0,53,92,89,7,653,126,0,47,"6,596",0,"6,181",21,0,"49,773","41,800","7,219",187,173,51,32,33,26,10,4,3,12,21,16,6,34,1,0,29,24,-,4,71,6,"38,337",67,"6,263","7,869","3,857","6,136","2,559","2,193",272,637,"4,534",245,189,307,210,58,335,467,376,6,237,6,16,8,145,0,123,419,571,35,31,"13,759","12,271",619,83,0,707,9,"1,740",201,"1,006",247,7,78,22,19,39,0,"2,424,125","1,212,728"
106 (2017),4,"1,217,543","142,568","341,117","48,988","419,923","75,268","1,766","45,527","40,780","21,061","24,912","19,949",71,"14,989","6,368",118,"1,913",147,246,158,135,28,30,0,0,155,10,1,110,86,80,5,785,133,0,65,"5,052",0,"4,889",16,0,"51,335","43,398","7,257",99,159,46,25,33,45,16,4,1,5,10,6,5,43,0,9,21,15,-,4,91,0,"35,048",97,"5,129","6,374","3,825","5,889","2,647","1,373",289,542,"4,572",867,431,162,255,87,31,555,306,19,197,5,23,5,191,0,177,370,296,24,83,"13,707","12,603",268,34,0,731,26,"1,181",184,567,222,16,13,11,7,26,0,"2,637,084","1,319,531"
106 (2017),5,"1,237,914","151,960","348,528","49,950","412,299","70,512","1,297","44,978","47,416","23,888","26,225","21,634",19,"16,947","5,926",93,"1,951",147,278,165,120,36,122,0,15,324,0,0,125,95,56,6,850,110,0,60,"6,729",0,"4,916",21,0,"64,305","53,135","10,460",132,154,21,26,33,21,18,29,8,9,12,3,6,38,1,1,21,36,-,5,107,2,"53,888",65,"6,935","10,223","5,244","5,685","5,037","2,519",506,"2,155","6,189","1,675","1,068",399,"1,006",248,164,924,824,37,477,30,137,9,421,0,464,589,383,76,144,"13,258","12,255",140,20,0,763,19,"1,031",223,437,71,14,13,29,15,31,1,"2,740,136","1,371,312"
106 (2017),6,"1,272,308","150,348","353,085","49,553","441,965","76,659","1,168","43,351","51,129","22,978","26,486","18,837",79,"15,895","6,200",85,"1,906",126,201,111,85,16,341,0,8,206,9,2,45,95,35,7,592,22,0,56,"5,444",0,"5,106",32,0,"68,458","54,916","12,949",140,132,28,33,12,6,17,6,2,5,14,4,1,29,1,2,11,36,-,10,67,1,"53,395",155,"6,987","9,732","4,535","6,112","5,718","1,773",911,"2,725","5,313","1,285","1,547",696,"1,227",335,141,551,691,24,736,42,104,18,319,2,426,483,375,61,64,"14,924","13,686",110,39,0,"1,002",22,807,290,135,55,11,3,83,19,42,0,"2,819,162","1,410,713"
106 (2017),7,"1,355,325","160,617","362,466","56,969","448,171","79,080","2,036","56,581","52,442","34,797","37,854","22,920",23,"17,267","7,410",102,"2,154",240,135,276,159,49,403,0,16,230,1,2,65,94,49,2,508,148,0,67,"6,290",0,"5,649",12,0,"64,369","52,697","10,993",128,151,31,36,14,7,19,12,9,14,10,10,1,47,0,3,19,17,-,19,120,0,"44,015",91,"4,980","8,120","3,747","6,016","5,244","1,192",670,"1,567","4,811",622,"1,982",405,928,240,147,519,549,42,286,37,66,30,169,1,431,420,315,57,55,"15,249","13,869",143,74,2,"1,088",14,"1,310",294,142,72,15,46,355,12,44,0,"2,959,818","1,480,440"
106 (2017),8,"1,241,730","154,977","347,289","50,971","388,334","80,131","1,975","47,936","51,157","30,830","32,134","19,051",51,"15,513","7,872",107,"1,858",199,155,198,126,23,423,0,8,246,3,0,71,140,35,5,462,70,0,61,"3,959",0,"5,301",11,0,"61,484","50,666","10,193",127,172,34,17,29,8,9,6,11,26,17,8,0,29,0,1,20,10,-,15,60,0,"40,719",70,"4,432","8,655","2,995","5,397","3,719","1,291",680,"1,972","4,555",682,"1,766",402,849,266,100,423,548,28,212,23,74,28,158,1,504,372,308,14,34,"16,511","15,246",162,50,0,982,22,"1,197",260,138,22,5,4,420,9,71,0,"2,722,730","1,361,761"
106 (2017),9,"1,095,079","128,041","302,646","48,531","346,733","70,211","2,422","41,125","44,038","24,861","26,004","17,003",43,"14,758","6,734",109,"1,735",153,219,245,144,19,153,0,5,215,0,"5,728",197,109,68,19,587,127,0,38,"6,241",0,"5,740",16,0,"62,607","48,301","13,592",137,134,62,23,35,21,12,9,9,17,7,13,7,28,1,0,14,13,-,7,143,1,"58,993",173,"7,255","10,581","5,431","6,723","5,984","2,570",364,"2,646","6,545","1,284","2,172",623,690,250,386,"1,017",462,50,723,23,75,6,485,2,795,648,472,57,27,"14,052","12,960",270,23,1,705,44,"1,201",400,323,142,10,9,81,19,67,0,"2,463,108","1,232,231"
106 (2017),10,"1,285,049","158,145","363,094","48,013","422,446","78,031","2,265","49,707","47,854","29,551","27,297","20,289",45,"13,360","7,766",100,"2,484",150,138,357,132,35,82,0,28,469,5,0,153,85,84,18,567,216,0,36,"5,612",0,"6,346",40,0,"62,084","48,604","12,714",159,149,74,19,15,9,3,14,11,17,9,13,0,71,0,2,28,34,-,14,108,1,"50,399",118,"5,905","9,291","5,709","5,885","4,013","2,340",326,"1,545","7,287",922,"1,048",232,236,143,325,"1,237",471,27,758,10,11,5,467,0,343,598,379,41,34,"16,410","14,966",457,44,0,804,53,"1,704",407,707,269,8,3,60,17,53,0,"2,830,268","1,416,082"
